time,event_type,pair,side,price,size,is_snapshot,trade_id
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16857500.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16857650.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16860587.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16857387.000000,0.030000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16859324.000000,0.100000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,ask,16867919.000000,0.065497,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16852499.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16851234.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16817845.000000,0.000000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16852386.000000,0.030000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16851923.000000,0.020000,true,
2025-08-03 14:01:05.12764+00,book,btc_jpy,bid,16810254.000000,0.002370,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16817844.000000,0.000000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16851429.000000,0.000000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16820088.000000,0.000000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16810253.000000,0.002370,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16822087.000000,0.600000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,ask,16857650.000000,0.100000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16842600.000000,0.010000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16847337.000000,0.018000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,ask,16858696.000000,0.010000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,ask,16861283.000000,0.020000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16810250.000000,0.002370,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16852366.000000,0.010000,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16854210.000000,0.039945,true,
2025-08-03 14:01:05.499474+00,book,btc_jpy,bid,16817841.000000,0.000000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,bid,16851274.000000,0.020000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16860612.000000,0.020000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16857650.000000,0.200000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16857649.000000,0.060000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16861283.000000,0.000000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16859324.000000,0.000000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,ask,16857387.000000,0.000000,true,
2025-08-03 14:01:05.862636+00,book,btc_jpy,bid,16851923.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16851519.000000,0.015000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,ask,16864611.000000,0.015000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,ask,16857687.000000,0.030000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,ask,16857649.000000,0.010000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,ask,16863954.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16822096.000000,0.002370,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16833951.000000,0.020000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16840751.000000,0.035600,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16851436.000000,0.010000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16852687.000000,0.030000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16853801.000000,0.039945,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16854908.000000,0.040000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16817843.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16839889.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16842600.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16844709.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16850874.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16852386.000000,0.000000,true,
2025-08-03 14:01:06.251303+00,book,btc_jpy,bid,16854210.000000,0.000000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,bid,16852687.000000,0.000000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,ask,16867919.000000,0.000000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,ask,16857687.000000,0.000000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,bid,16840316.000000,0.050000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,bid,16851665.000000,0.010000,true,
2025-08-03 14:01:06.609218+00,book,btc_jpy,bid,16852366.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933767.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933764.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933763.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,bid,16842600.000000,0.005000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,bid,16852384.000000,0.030000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,bid,16851024.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,bid,16833951.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933756.000000,0.002370,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,bid,16854907.000000,0.000000,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933753.000000,0.002370,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16933752.000000,0.002370,true,
2025-08-03 14:01:06.991443+00,book,btc_jpy,ask,16857384.000000,0.030000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,ask,16857384.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16842600.000000,0.010000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16844667.000000,0.020000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16850655.000000,0.020000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16851336.000000,0.010000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16853624.000000,0.039945,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16853802.000000,0.040000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16825956.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16851274.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16851665.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16852384.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16853801.000000,0.000000,true,
2025-08-03 14:01:07.355036+00,book,btc_jpy,bid,16854908.000000,0.000000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,bid,16847337.000000,0.000000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,ask,16933743.000000,0.002370,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,ask,16889179.000000,0.010000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,ask,16868501.000000,0.065497,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,ask,16857463.000000,0.030000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,ask,16933765.000000,0.000000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,bid,16842600.000000,0.005000,true,
2025-08-03 14:01:07.715491+00,book,btc_jpy,bid,16852463.000000,0.030000,true,
2025-08-03 14:01:08.066437+00,book,btc_jpy,bid,16840316.000000,0.000000,true,
2025-08-03 14:01:08.066437+00,book,btc_jpy,bid,16840704.000000,0.050000,true,
2025-08-03 14:01:08.066437+00,book,btc_jpy,bid,16850732.000000,0.020900,true,
2025-08-03 14:01:08.066437+00,book,btc_jpy,bid,16842600.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16865341.000000,0.015000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16922890.000000,0.020000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857649.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857463.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16821757.000000,0.010000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16822106.000000,0.002370,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16822107.000000,0.002370,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16829626.000000,0.001200,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16850197.000000,0.018000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16852068.000000,0.010000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16852235.000000,0.015000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16852716.000000,0.030000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16854232.000000,0.039945,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16810250.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16810253.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16810254.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16850655.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16851336.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16851519.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16852463.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,bid,16853624.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16860738.000000,0.020000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16858695.000000,0.100000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857888.000000,0.010084,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857717.000000,0.030000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16864611.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16860612.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857651.000000,0.000000,true,
2025-08-03 14:01:08.416057+00,book,btc_jpy,ask,16857650.000000,0.000000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,ask,16857648.000000,0.110000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,ask,16860738.000000,0.000000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,ask,16858695.000000,0.000000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,bid,16788046.000000,0.020000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,bid,16822103.000000,0.002370,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,ask,16860133.000000,0.020000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,bid,16851376.000000,0.020000,true,
2025-08-03 14:01:08.774747+00,book,btc_jpy,bid,16844667.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16850808.000000,0.020000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16851376.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16852716.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16840751.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,ask,16860853.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,ask,16858696.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,ask,16857888.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,ask,16857717.000000,0.000000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16844614.000000,0.020000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16850197.000000,0.036000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16865341.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16864705.000000,0.015000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16860758.000000,0.020000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16858691.000000,0.010000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16858160.000000,0.009695,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16857008.000000,0.030000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16868501.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16860133.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16857915.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16822116.000000,0.002370,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840581.000000,0.035600,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840935.000000,0.050000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16851414.000000,0.020000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16851579.000000,0.015000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16852007.000000,0.030000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16853752.000000,0.039945,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16822096.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840704.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16842601.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16850808.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16852235.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16854232.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16852079.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933732.000000,0.002370,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16860231.000000,0.020000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16857636.000000,0.010084,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16856903.000000,0.030000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933753.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933752.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16860758.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16857008.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16850197.000000,0.018000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16850850.000000,0.020000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16851891.000000,0.030000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16840581.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16851414.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16852007.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16850197.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933736.000000,0.002370,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933733.000000,0.002370,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933756.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16851863.000000,0.010000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16852068.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16851891.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,ask,16857374.000000,0.030000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,ask,16856903.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16840581.000000,0.035600,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16852337.000000,0.030000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16853627.000000,0.039945,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16851579.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16853752.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16851424.000000,0.015000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16933723.000000,0.002370,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16864550.000000,0.015000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16933743.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16864705.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16842601.000000,0.010000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16844582.000000,0.020000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16850197.000000,0.018000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16810243.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16844614.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16853627.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,ask,16857606.000000,0.030000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,ask,16857374.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16813695.000000,1.433387,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822123.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822126.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822127.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16851591.000000,0.010000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16852558.000000,0.030000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16853969.000000,0.039945,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822103.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822106.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822107.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16842601.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16850197.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16851863.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16852337.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16851220.000000,0.015000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16864312.000000,0.015000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16864550.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16857606.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16852558.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16851424.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16859669.000000,0.020000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16857262.000000,0.030000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16860231.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16822136.000000,0.002370,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16844543.000000,0.020000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850336.000000,0.020000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850872.000000,0.010000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16852171.000000,0.030000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16822116.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16844582.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16850850.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16851591.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16844543.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16850336.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,bid,16853969.000000,0.000000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,ask,16860668.000000,0.020000,true,
2025-08-03 14:01:12.864007+00,book,btc_jpy,ask,16859669.000000,0.000000,true,
